rank,source_label,target_label,source_gid,target_gid,group_size,seqs,videos,mean_score,min_score,mean_centroid_margin,mean_neighbor_margin,sum_conflicts,assignments_out
1,4,0,96000004,96000000,1,[2354],"[""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6""]",1.026054,1.026054,0.358527,0.251735,0,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank01_feature_outlier_s4_to0_1seq_assignments.csv
2,14,30,96000015,96000032,1,[9202],"[""vlincs_MS01_MC0001_MCAM08_2024-03-Tc6""]",0.961209,0.961209,0.218972,0.232241,0,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank02_feature_outlier_s14_to30_1seq_assignments.csv
3,86,91,960000350,960000483,1,[685],"[""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6""]",0.960354,0.960354,0.248487,0.134501,0,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank03_feature_outlier_s86_to91_1seq_assignments.csv
4,45,26,96000049,96000028,1,[9343],"[""vlincs_MS01_MC0001_MCAM08_2024-03-Tc6""]",0.95308,0.95308,0.154551,0.16801,4,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank04_feature_outlier_s45_to26_1seq_assignments.csv
5,20,3,96000022,96000003,1,[5628],"[""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6""]",0.953053,0.953053,0.296457,0.140114,2,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank05_feature_outlier_s20_to3_1seq_assignments.csv
6,86,91,960000350,960000483,2,"[685, 1548]","[""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6""]",0.952902,0.94545,0.248355,0.131068,0,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank06_feature_outlier_s86_to91_2seq_assignments.csv
7,86,37,960000350,96000040,1,[4043],"[""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6""]",0.934589,0.934589,0.164356,0.213102,3,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank07_feature_outlier_s86_to37_1seq_assignments.csv
8,87,91,960000351,960000483,1,[1123],"[""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6""]",0.924529,0.924529,0.159558,0.151193,1,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank08_feature_outlier_s87_to91_1seq_assignments.csv
9,3,29,96000003,96000031,1,[1498],"[""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6""]",0.912528,0.912528,0.217122,0.088378,1,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank09_feature_outlier_s3_to29_1seq_assignments.csv
10,83,34,960000203,96000037,1,[7659],"[""vlincs_MS01_MC0001_MCAM08_2024-03-Tc6""]",0.911562,0.911562,0.205325,0.307519,0,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank10_feature_outlier_s83_to34_1seq_assignments.csv
11,24,85,96000026,960000205,1,[5824],"[""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6""]",0.869356,0.869356,0.150292,0.026272,2,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank11_feature_outlier_s24_to85_1seq_assignments.csv
12,51,31,96000055,96000033,1,[2344],"[""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6""]",0.860545,0.860545,0.115401,0.126981,2,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank12_feature_outlier_s51_to31_1seq_assignments.csv
13,9,88,96000010,960000480,1,[2007],"[""vlincs_MS01_MC0001_MCAM03_2024-03-Tc8""]",0.860009,0.860009,0.24458,0.038093,2,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank13_feature_outlier_s9_to88_1seq_assignments.csv
14,14,81,96000015,960000201,1,[1247],"[""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6""]",0.851703,0.851703,0.227117,0.020775,0,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank14_feature_outlier_s14_to81_1seq_assignments.csv
15,9,38,96000010,96000041,1,[4457],"[""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6""]",0.846714,0.846714,0.193616,0.029405,1,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank15_feature_outlier_s9_to38_1seq_assignments.csv
16,10,18,96000011,96000019,1,[8367],"[""vlincs_MS01_MC0001_MCAM08_2024-03-Tc6""]",0.845788,0.845788,0.170932,0.24468,2,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank16_feature_outlier_s10_to18_1seq_assignments.csv
17,37,78,96000040,96002329,1,[986],"[""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6""]",0.845286,0.845286,0.10674,0.152203,0,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank17_feature_outlier_s37_to78_1seq_assignments.csv
18,51,31,96000055,96000033,2,"[2344, 2549]","[""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6""]",0.840273,0.820001,0.110805,0.11634,2,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank18_feature_outlier_s51_to31_2seq_assignments.csv
19,8,81,96000009,960000201,1,[1414],"[""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6""]",0.834448,0.834448,0.16954,0.034344,0,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank19_feature_outlier_s8_to81_1seq_assignments.csv
20,36,90,96000039,960000482,1,[964],"[""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6""]",0.831578,0.831578,0.254372,0.050473,0,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank20_feature_outlier_s36_to90_1seq_assignments.csv
21,4,13,96000004,96000014,1,[5238],"[""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6""]",0.823225,0.823225,0.201958,0.162738,0,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank21_feature_outlier_s4_to13_1seq_assignments.csv
22,33,34,96000036,96000037,1,[4121],"[""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6""]",0.820327,0.820327,0.178721,0.029896,2,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank22_feature_outlier_s33_to34_1seq_assignments.csv
23,24,9,96000026,96000010,1,[2229],"[""vlincs_MS01_MC0001_MCAM04_2024-03-Tc6""]",0.80599,0.80599,0.02746,0.028739,2,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank23_feature_outlier_s24_to9_1seq_assignments.csv
24,91,89,960000483,960000481,1,[633],"[""vlincs_MS01_MC0001_MCAM03_2024-03-Tc6""]",0.801988,0.801988,0.059498,0.060215,3,local_runs/current_best_feature_outlier_probe_20260624/assignments/rank24_feature_outlier_s91_to89_1seq_assignments.csv
